first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Jan,Bednarek,1,0,13,180,3,0.4,63.2,19.0,0,48,8.3,1,0,0,0.2,41
Steven,Davis,3,2,71,1515,21,350.8,345.2,126.0,6,337,82.5,4,0,0,1.4,47
James,Ward-Prowse,3,5,82,1659,27,609.8,357.0,270.0,8,361,123.4,2,0,2,1.8,49
Dusan,Tadic,4,3,99,2464,41,818.9,484.2,572.0,7,386,187.5,8,0,4,1.6,62
Jordy,Clasie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Oriol,Romeu Vidal,1,0,61,2537,44,275.8,520.8,199.0,0,422,99.7,7,0,9,2.2,42
Pierre-Emile,Højbjerg,0,0,33,1378,28,210.8,227.2,143.0,0,223,58.3,2,0,4,0.4,43
Sofiane,Boufal,2,2,55,1206,24,351.6,289.4,397.0,2,215,103.7,1,0,1,0.2,57
Joshua,Sims,0,0,8,160,2,43.5,32.6,149.0,0,18,22.5,1,0,0,0.1,43
Nathan,Redmond,0,3,58,1709,29,590.6,288.4,399.0,2,263,127.9,5,0,3,1.8,59
Shane,Long,2,2,50,1473,26,283.9,217.4,485.0,0,162,98.3,4,0,5,0.4,56
Charlie,Austin,7,0,62,724,14,73.1,276.4,517.0,9,197,86.2,1,0,1,1.1,58
Manolo,Gabbiadini,4,0,58,1045,17,122.2,164.6,220.0,7,173,48.7,4,0,2,1.3,62
Mario,Lemina,1,0,52,1580,30,155.5,321.0,111.0,5,311,58.6,4,0,2,0.2,48
Stuart,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40
Wesley,Hoedt,0,2,60,2160,39,104.7,551.6,134.0,8,453,79.0,4,0,6,0.1,50
Michael,Obafemi,0,0,1,8,0,1.3,0.0,4.0,0,-1,0.3,0,0,0,0.7,45
Guido,Carrillo,0,1,15,449,8,64.2,50.2,179.0,0,40,29.4,1,0,0,0.0,60
Kurt,Zouma,1,0,77,2586,46,80.7,722.2,225.0,5,496,103.0,6,0,1,2.1,54
Jack,Butland,0,0,105,2790,57,10.0,871.6,0.0,12,599,88.3,5,0,0,2.7,50
Lee,Grant,0,0,5,270,7,0.0,64.2,0.0,0,44,6.3,0,0,0,0.2,42
Ryan,Shawcross,1,1,56,2011,36,25.8,561.8,255.0,2,302,84.4,4,0,2,0.9,48
Geoff,Cameron,0,0,33,1522,30,77.2,265.4,46.0,0,220,39.0,2,0,2,0.3,43
Erik,Pieters,0,1,61,2357,46,225.9,438.2,31.0,0,387,69.5,6,0,3,0.4,47
Marc,Muniesa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Glen,Johnson,0,0,3,412,13,51.4,71.8,39.0,0,58,16.2,0,0,2,0.3,41
Josh,Tymon,0,0,0,162,9,4.9,20.4,0.0,0,18,2.5,0,0,0,0.0,44
Joe,Allen,2,6,101,2862,52,496.8,638.6,328.0,12,487,146.3,5,0,8,1.8,51
Charlie,Adam,0,0,10,405,9,114.4,73.2,84.0,0,57,27.1,2,1,2,0.1,47
Glenn,Whelan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Ibrahim,Afellay,0,0,6,162,9,5.5,12.6,0.0,0,29,1.8,0,0,1,0.0,48
Xherdan,Shaqiri,7,8,139,2679,54,1029.7,631.2,639.0,17,500,230.6,5,0,4,10.0,62
