,first_name,second_name,id,position
302,Aleksandar,Mitrovic,303,Forward
303,Daryl,Murphy,304,
304,Alex,McCarthy,305,
305,Fraser,Forster,306,Goalkeeper
306,Ryan,Bertrand,307,Defender
307,Maya,Yoshida,308,Defender
308,Matt,Targett,309,Defender
309,Cédric,Soares,310,Defender
310,Virgil,van Dijk,311,Defender
311,Jérémy,Pied,312,Defender
312,Jack,Stephens,313,
313,Sam,McQueen,314,Defender
314,Jan,Bednarek,315,Defender
315,Steven,Davis,316,Midfielder
316,James,Ward-Prowse,317,Midfielder
317,Dusan,Tadic,318,Midfielder
318,Jordy,Clasie,319,Midfielder
319,Oriol,Romeu Vidal,320,
320,Pierre-Emile,Højbjerg,321,Midfielder
321,Sofiane,Boufal,322,Midfielder
322,Joshua,Sims,323,
323,Nathan,Redmond,324,Midfielder
324,Shane,Long,325,
325,Charlie,Austin,326,Forward
326,Manolo,Gabbiadini,327,Forward
327,Jack,Butland,328,Goalkeeper
328,Lee,Grant,329,Goalkeeper
329,Ryan,Shawcross,330,Defender
330,Geoff,Cameron,331,Defender
331,Erik,Pieters,332,Defender
332,Marc,Muniesa,333,Defender
333,Phil,Bardsley,334,Defender
334,Glen,Johnson,335,
335,Josh,Tymon,336,Defender
336,Joe,Allen,337,Midfielder
337,Charlie,Adam,338,Midfielder
338,Glenn,Whelan,339,Midfielder
339,Marko,Arnautovic,340,Forward
340,Ibrahim,Afellay,341,Midfielder
341,Xherdan,Shaqiri,342,Midfielder
342,Giannelli,Imbula,343,Midfielder
343,Bojan,Krkic Perez,344,
344,Ramadan,Sobhi,345,Midfielder
345,Darren,Fletcher,346,Midfielder
346,Peter,Crouch,347,Forward
347,Mame Biram,Diouf,348,Midfielder
348,Saido,Berahino,349,Forward
349,Lukasz,Fabianski,350,Goalkeeper
350,Kristoffer,Nordfeldt,351,Goalkeeper
351,Kyle,Naughton,352,Defender
352,Angel,Rangel,353,Defender
353,Federico,Fernández,354,Defender
354,Stephen,Kingsley,355,Defender
