player,position,,,
Kieran Trippier,Defender,,,
Axel Tuanzebe,Defender,,,
Josh Tymon,Defender,,,
Leonardo Ulloa,Forward,,,
Fredrik Ulvestad,Midfielder,,,
Enner Valencia,Forward,,,
Patrick van Aanholt,Defender,,,
Mike van der Hoorn,Defender,,,
Virgil van Dijk,Defender,,,
Jamie Vardy,Forward,,,
Guillermo Varela,Defender,,,
Santiago Vergini,Defender,,,
Jan Vertonghen,Defender,,,
Josh Vickers,Goalkeeper,,,
Sam Vokes,Forward,,,
Michel Vorm,Goalkeeper,,,
Matej Vydra,Forward,,,
Molla Wagué,Defender,,,
Josh Wakefield,Midfielder,,,
Theo Walcott,Forward,,,
Kyle Walker,Defender,,,
Kyle Walker-Peters,Defender,,,
Jonathan Walters,Forward,,,
Victor Wanyama,Midfielder,,,
Stephen Ward,Defender,,,
James Ward-Prowse,Midfielder,,,
Marcin Wasilewski,Defender,,,
Duncan Watmore,Forward,,,
Ben Watson,Midfielder,,,
James Weir,Midfielder,,,
Danny Welbeck,Forward,,,
Ashley Westwood,Midfielder,,,
Glenn Whelan,Midfielder,,,
Connor Wickham,Forward,,,
Rhoys Wiggins,Defender,,,
Georginio Wijnaldum,Midfielder,,,
Wilfred Ndidi,Midfielder,,,
Joe Williams,Midfielder,,,
Willian,Midfielder,,,
Chris Willock,Forward,,,
Jack Wilshere,Midfielder,,,
Callum Wilson,Forward,,,
Kevin Wimmer,Defender,,,
Harry Winks,Midfielder,,,
Philipp Wollscheid,Defender,,,
Jonathan Woodgate,Defender,,,
Richard Wright,Goalkeeper,,,
Granit Xhaka,Midfielder,,,
Claudio Yacob,Midfielder,,,
Yaya Touré,Midfielder,,,
Maya Yoshida,Defender,,,
Ashley Young,Midfielder,,,
Pablo Zabaleta,Defender,,,
Wilfried Zaha,Midfielder,,,
Mauro Zárate,Forward,,,
Simone Zaza,Forward,,,
Ron-Robert Zieler,Goalkeeper,,,
Kurt Zouma,Defender,,,
Juan Camilo Zuñiga,Defender,,,
